id,duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem,utime
0QZJN4yTbbU,34.168,vp8,480,360,186895,30.029411,16,1005,0,1021,238485,559745,0,798230,vp8,109000,25.0,480,360,165700,4.56
2NO0-ve7CKM,1140.349,vp8,1280,720,2394626,30.007016999999998,328,33880,0,34208,20478926,320859863,0,341338789,mpeg4,3000000,24.0,640,480,219480,6.244
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,vp8,56000,24.0,640,480,82972,4.46
3ODf-KYiOZw,63.667,h264,640,480,972572,15.0,33,923,0,956,1259657,6480438,0,7740095,mpeg4,539000,12.0,1920,1080,219656,6.92
1RGh-RmYxHY,217.518,h264,480,360,83054,29.0,112,6408,0,6520,406683,1851539,0,2258222,vp8,56000,29.97,640,480,217080,5.468
3HVJ-p8L33A,163.89700000000002,flv,320,240,267032,29.0,87,4826,0,4913,824159,4646573,0,5470732,flv,3000000,29.97,320,240,219656,0.648
0Yxo-eU6AjI,326.58299999999997,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,flv,3000000,12.0,1280,720,215124,2.86
46oD-rS6PC8,95.462,h264,640,480,809256,29.0,51,2811,0,2862,886496,8770159,0,9656655,mpeg4,3000000,29.97,1920,1080,221160,15.497
0ckO-lUydcc,177.33333000000002,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,mpeg4,56000,29.97,176,144,162996,0.9440000000000001
0a6_--ZJXTE,290.01666,mpeg4,176,144,52783,12.0,61,3417,0,3478,119325,1794184,0,1913509,vp8,539000,24.0,1280,720,132640,11.649000000000001
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,h264,5000000,25.0,480,360,122896,22.293000000000003
2SkA-cUEaJ0,490.6,h264,480,360,300437,25.0,256,12010,0,12266,1448177,16976151,0,18424328,flv,242000,12.0,480,360,219480,0.924
3o_2-igmsyo,440.967,h264,320,240,281642,30.0,236,12994,0,13230,2444863,13079542,0,15524405,h264,56000,12.0,640,480,219656,4.74
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,vp8,109000,12.0,1280,720,219480,14.377
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,vp8,820000,24.0,480,360,219656,5.416
2zeL-QQa8Sk,77.233,h264,480,360,382461,30.0,53,2265,0,2318,182297,3510033,0,3692330,mpeg4,3000000,25.0,480,360,219480,4.36
2zeL-QQa8Sk,77.233,h264,480,360,382461,30.0,53,2265,0,2318,182297,3510033,0,3692330,mpeg4,5000000,12.0,1920,1080,219480,8.797
1Nc0-MKuExg,107.443,vp8,480,360,320011,30.093458000000002,30,3190,0,3220,671936,3625932,0,4297868,vp8,5000000,12.0,176,144,216820,1.8359999999999999
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,flv,242000,15.0,320,240,111120,1.0959999999999999
QXOX-MyiSAo,41.61,mpeg4,176,144,49525,12.0,9,490,0,499,22602,234992,0,257594,h264,3000000,25.0,480,360,92864,15.140999999999998
0I0e-5-iR3A,906.5983,mpeg4,176,144,56108,12.0,187,10692,0,10879,597549,5760936,0,6358485,mpeg4,56000,25.0,320,240,165668,1.3119999999999998
1RMD-MxzJn8,64.933,flv,320,240,236793,15.0,39,936,0,975,318954,1603007,0,1921961,mpeg4,3000000,24.0,640,480,217080,4.46
1RGh-RmYxHY,217.518,h264,480,360,83054,29.0,112,6408,0,6520,406683,1851539,0,2258222,flv,3000000,12.0,1280,720,217080,2.04
3U8m-ETsTS4,282.56,h264,640,480,559834,25.0,145,6920,0,7065,4966509,14806840,0,19773349,flv,3000000,29.97,1280,720,221152,3.1839999999999997
1D3O-16kzhQ,274.541,vp8,480,360,139791,30.029197999999997,58,8170,0,8228,802625,3994697,0,4797322,mpeg4,539000,29.97,1920,1080,216064,15.293
3mWp-QQn-1M,167.39166,h264,1280,720,2207484,24.0,86,3931,0,4017,4369420,41819887,0,46189307,h264,109000,25.0,176,144,219656,5.803999999999999
1KXW-XA6QkQ,255.28,flv,320,240,250276,25.0,110,6272,0,6382,611474,7374864,0,7986338,vp8,109000,25.0,480,360,216820,5.0360000000000005
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,vp8,56000,29.97,176,144,216820,2.28
0I0e-5-iR3A,906.5983,mpeg4,176,144,56108,12.0,187,10692,0,10879,597549,5760936,0,6358485,h264,5000000,15.0,176,144,165668,1.7280000000000002
25TI-jx-cag,176.90099999999998,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,h264,5000000,25.0,1920,1080,653728,24.766
2NO0-ve7CKM,1140.349,vp8,1280,720,2394626,30.007016999999998,328,33880,0,34208,20478926,320859863,0,341338789,mpeg4,820000,15.0,1920,1080,219480,11.241
0_VA-rJgmMI,750.433,vp8,1280,720,794075,13.482667000000001,81,10031,0,10112,3852576,70635013,0,74487589,h264,56000,24.0,320,240,165700,3.716
22uE-OUUBH8,43.827,flv,320,240,272273,25.0,23,1081,0,1104,137210,1354404,0,1491614,flv,5000000,24.0,640,480,218932,1.6640000000000001
1LXH-OibJYQ,42.2,h264,480,360,288705,25.0,23,1033,0,1056,216154,1306770,0,1522924,h264,109000,24.0,1280,720,327924,16.705
1G6F-Huj2hY,110.966995,h264,480,360,397112,30.0,59,3271,0,3330,529627,4978664,0,5508291,flv,3000000,25.0,1280,720,216820,3.844
3xGu-rfcH3s,368.32,vp8,640,480,29096,25.021739999999998,74,9134,0,9208,869558,470067,0,1339625,flv,820000,12.0,480,360,221152,0.9359999999999999
4keb-__zqyQ,452.689,vp8,320,240,66680,5.705752400000001,42,2537,0,2579,207037,3566163,0,3773200,flv,242000,29.97,1280,720,248108,2.048
1LXH-OibJYQ,42.2,h264,480,360,288705,25.0,23,1033,0,1056,216154,1306770,0,1522924,flv,820000,15.0,480,360,216820,0.82
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,mpeg4,5000000,29.97,640,480,219480,4.0760000000000005
1oz8-nezz50,225.08,h264,480,360,538452,25.0,113,5515,0,5628,1873408,13275961,0,15149369,flv,5000000,24.0,1280,720,216820,3.228
3xGu-rfcH3s,368.32,vp8,640,480,29096,25.021739999999998,74,9134,0,9208,869558,470067,0,1339625,vp8,3000000,25.0,480,360,221152,2.924
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,flv,539000,12.0,320,240,219480,1.456
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065932999999998,77,6766,0,6843,6190779,47579961,0,53770740,mpeg4,109000,15.0,1920,1080,219656,9.953
0_VA-rJgmMI,750.433,vp8,1280,720,794075,13.482667000000001,81,10031,0,10112,3852576,70635013,0,74487589,mpeg4,539000,12.0,176,144,165700,1.984
2u-5-Io725E,426.945,h264,1280,720,1064703,29.0,228,12567,0,12795,11297544,45523691,0,56821235,flv,820000,12.0,320,240,219480,3.62
1hEL-mcI-tM,304.927,vp8,320,240,134334,25.075658999999998,82,7541,0,7623,833754,4286526,0,5120280,vp8,5000000,24.0,640,480,216820,8.121
1Y-Y-RHCxRQ,189.956,flv,320,240,231296,29.0,97,5597,0,5694,580292,4911734,0,5492026,vp8,820000,24.0,1280,720,218664,14.705
2pet-NcSXvY,37.011665,h264,1280,720,2759449,29.0,21,1088,0,1109,1899633,10866846,0,12766479,h264,56000,29.97,320,240,219480,9.593
zG_1-ey0ZVw,227.50832999999997,mpeg4,176,144,53572,12.0,48,2682,0,2730,58058,1465464,0,1523522,flv,820000,12.0,1920,1080,86968,3.16
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,h264,56000,15.0,176,144,221152,1.276
3BVV-0I-JlM,33.09,h264,320,240,279173,13.0,22,434,0,456,101794,1052937,0,1154731,vp8,109000,12.0,1920,1080,219480,19.325
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,h264,56000,24.0,320,240,219656,3.1919999999999997
25TI-jx-cag,176.90099999999998,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,flv,109000,12.0,1280,720,218932,1.604
3Wdg-dsGihA,340.42400000000004,flv,320,240,244491,11.0,69,4012,0,4081,1168939,9234909,0,10403848,vp8,56000,24.0,1280,720,221152,7.5120000000000005
1RMD-MxzJn8,64.933,flv,320,240,236793,15.0,39,936,0,975,318954,1603007,0,1921961,flv,820000,29.97,176,144,217080,0.38
0ICm-Cu4_aE,476.957,vp8,1280,720,1387100,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,109000,15.0,320,240,165700,5.516
1Y-Y-RHCxRQ,189.956,flv,320,240,231296,29.0,97,5597,0,5694,580292,4911734,0,5492026,mpeg4,539000,24.0,1280,720,218192,7.556
3ODf-KYiOZw,63.667,h264,640,480,972572,15.0,33,923,0,956,1259657,6480438,0,7740095,mpeg4,242000,15.0,176,144,219656,1.8319999999999999
04t6-jw9czg,130.35667,mpeg4,176,144,54590,12.0,27,1537,0,1564,64483,825054,0,889537,mpeg4,5000000,25.0,480,360,35732,2.44
25TI-jx-cag,176.90099999999998,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,flv,820000,24.0,1280,720,218932,2.1719999999999997
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062991999999998,51,7585,0,7636,918325,7387906,0,8306231,vp8,539000,12.0,1920,1080,221160,19.297
4NcD-WQyXCQ,860.056,vp8,1280,720,2688309,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,flv,56000,25.0,1280,720,262784,5.932
3DRy-Stwt9c,385.05199999999996,vp8,1280,720,441862,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,mpeg4,539000,12.0,640,480,219480,2.448
3fmy-4uvR9U,143.03333999999998,mpeg4,176,144,51082,12.0,31,1685,0,1716,56405,856907,0,913312,vp8,539000,29.97,1280,720,219480,11.561
28BV-NZV3C8,326.58832,h264,1920,1080,5999648,23.0,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,820000,12.0,640,480,218932,8.957
0ckO-lUydcc,177.33333000000002,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,flv,242000,25.0,640,480,163632,0.652
0a6_--ZJXTE,290.01666,mpeg4,176,144,52783,12.0,61,3417,0,3478,119325,1794184,0,1913509,flv,5000000,24.0,320,240,136256,0.48
1G6F-Huj2hY,110.966995,h264,480,360,397112,30.0,59,3271,0,3330,529627,4978664,0,5508291,vp8,820000,12.0,640,480,216820,6.38
0XTW-dqdT4w,216.55,h264,320,240,291150,29.0,112,6379,0,6491,1789334,6091735,0,7881069,vp8,242000,15.0,1280,720,193048,10.769
236x-T7D-8g,581.2330000000001,h264,480,360,295979,30.0,310,17128,0,17438,10151572,11352574,0,21504146,mpeg4,820000,15.0,176,144,218932,1.92
2SkA-cUEaJ0,490.6,h264,480,360,300437,25.0,256,12010,0,12266,1448177,16976151,0,18424328,vp8,820000,25.0,640,480,219480,9.945
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032557999999998,138,16008,0,16146,1081321,6660941,0,7742262,mpeg4,5000000,24.0,480,360,218932,3.852
3BVV-0I-JlM,33.09,h264,320,240,279173,13.0,22,434,0,456,101794,1052937,0,1154731,flv,539000,25.0,640,480,219480,0.992
2ApZ-KZ-pEk,157.891,h264,480,360,406908,29.0,87,4646,0,4733,1776729,6254165,0,8030894,mpeg4,242000,29.97,176,144,219464,2.844
1hEL-mcI-tM,304.927,vp8,320,240,134334,25.075658999999998,82,7541,0,7623,833754,4286526,0,5120280,mpeg4,539000,12.0,176,144,216820,1.5959999999999999
1RGh-RmYxHY,217.518,h264,480,360,83054,29.0,112,6408,0,6520,406683,1851539,0,2258222,vp8,109000,12.0,640,480,217080,3.2960000000000003
XWwO-zh9rCk,311.413,h264,480,360,400066,29.0,161,9173,0,9334,1668853,13904378,0,15573231,mpeg4,56000,25.0,480,360,84104,3.3960000000000004
2TXm-QHXCzU,270.655,vp8,640,480,652967,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,flv,242000,25.0,320,240,219480,1.7280000000000002
28BV-NZV3C8,326.58832,h264,1920,1080,5999648,23.0,174,7656,0,7830,16603953,228322925,0,244926878,flv,3000000,25.0,176,144,218932,8.501
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,flv,539000,29.97,320,240,219480,1.5719999999999998
0ckO-lUydcc,177.33333000000002,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,mpeg4,539000,12.0,320,240,163024,1.084
1RMD-MxzJn8,64.933,flv,320,240,236793,15.0,39,936,0,975,318954,1603007,0,1921961,flv,820000,15.0,1920,1080,217080,3.548
1s9d-jTKyUw,448.575,vp8,1280,720,2052426,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,flv,820000,12.0,176,144,217080,3.8
2kFF-0kB_4w,339.667,h264,640,480,257699,30.0,181,10010,0,10191,10121223,820261,0,10941484,h264,242000,12.0,640,480,219480,4.532
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062991999999998,51,7585,0,7636,918325,7387906,0,8306231,flv,56000,25.0,1920,1080,221160,5.568
0a6_--ZJXTE,290.01666,mpeg4,176,144,52783,12.0,61,3417,0,3478,119325,1794184,0,1913509,mpeg4,5000000,29.97,480,360,130204,2.728
04t6-jw9czg,130.35667,mpeg4,176,144,54590,12.0,27,1537,0,1564,64483,825054,0,889537,flv,5000000,15.0,1920,1080,74496,3.784
3U8m-ETsTS4,282.56,h264,640,480,559834,25.0,145,6920,0,7065,4966509,14806840,0,19773349,vp8,3000000,24.0,1920,1080,221152,35.566
2ApZ-KZ-pEk,157.891,h264,480,360,406908,29.0,87,4646,0,4733,1776729,6254165,0,8030894,flv,56000,29.97,176,144,219464,0.948
0Yxo-eU6AjI,326.58299999999997,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,vp8,242000,12.0,640,480,212772,5.52
1Vq6-f1kYeM,127.22166399999999,h264,1920,1080,3080852,23.0,70,2980,0,3050,3818903,45174992,0,48993895,mpeg4,242000,12.0,320,240,217348,7.656000000000001
3dI-kJGuWbY,292.092,h264,480,360,480125,29.0,156,8599,0,8755,2375028,15155062,0,17530090,flv,109000,12.0,320,240,219480,1.208
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,h264,56000,15.0,176,144,219480,2.764
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,h264,109000,24.0,480,360,219656,5.864
3HVJ-p8L33A,163.89700000000002,flv,320,240,267032,29.0,87,4826,0,4913,824159,4646573,0,5470732,flv,539000,25.0,320,240,219656,0.62
4Fob-eSnrb8,1768.9417,mpeg4,176,144,56152,12.0,354,20873,0,21227,1382103,11034284,0,12416387,vp8,56000,15.0,640,480,221160,4.308
oCSY-t1B_gs,121.333,vp8,480,360,159912,30.082645,27,3613,0,3640,894020,1531313,0,2425333,mpeg4,5000000,15.0,1280,720,62696,6.28
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032557999999998,138,16008,0,16146,1081321,6660941,0,7742262,h264,820000,29.97,176,144,219200,4.308
3fmy-4uvR9U,143.03333999999998,mpeg4,176,144,51082,12.0,31,1685,0,1716,56405,856907,0,913312,h264,109000,15.0,176,144,219480,1.6
0ckO-lUydcc,177.33333000000002,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,h264,820000,25.0,640,480,164736,14.377
3ODf-KYiOZw,63.667,h264,640,480,972572,15.0,33,923,0,956,1259657,6480438,0,7740095,mpeg4,3000000,29.97,480,360,219656,5.3
1WrA-SRsgEk,384.45099999999996,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,mpeg4,56000,12.0,640,480,217544,2.544
3-Wy-Ftbd40,69.93833000000001,mpeg4,176,144,56717,12.0,14,825,0,839,47521,448322,0,495843,flv,820000,29.97,640,480,221152,0.6679999999999999
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,h264,109000,12.0,640,480,219480,9.113
04t6-jw9czg,130.35667,mpeg4,176,144,54590,12.0,27,1537,0,1564,64483,825054,0,889537,flv,539000,24.0,1920,1080,74496,3.188
3dI-kJGuWbY,292.092,h264,480,360,480125,29.0,156,8599,0,8755,2375028,15155062,0,17530090,vp8,3000000,15.0,480,360,219480,6.888
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,flv,539000,12.0,1280,720,165564,3.292
22uE-OUUBH8,43.827,flv,320,240,272273,25.0,23,1081,0,1104,137210,1354404,0,1491614,mpeg4,5000000,25.0,320,240,218932,2.3680000000000003
0QZJN4yTbbU,34.168,vp8,480,360,186895,30.029411,16,1005,0,1021,238485,559745,0,798230,mpeg4,5000000,25.0,1280,720,165700,8.865
3ODf-KYiOZw,63.667,h264,640,480,972572,15.0,33,923,0,956,1259657,6480438,0,7740095,mpeg4,820000,15.0,176,144,219656,1.9280000000000002
1Vq6-f1kYeM,127.22166399999999,h264,1920,1080,3080852,23.0,70,2980,0,3050,3818903,45174992,0,48993895,vp8,242000,24.0,640,480,217348,14.769
25TI-jx-cag,176.90099999999998,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,mpeg4,3000000,15.0,640,480,218932,1.8840000000000001
1G6F-Huj2hY,110.966995,h264,480,360,397112,30.0,59,3271,0,3330,529627,4978664,0,5508291,h264,539000,25.0,480,360,216820,14.705
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,mpeg4,539000,29.97,480,360,219480,4.048
15fr-zSdCqg,39.055,h264,1920,1080,5992818,30.0,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,5000000,29.97,1920,1080,215848,21.205
2zeL-QQa8Sk,77.233,h264,480,360,382461,30.0,53,2265,0,2318,182297,3510033,0,3692330,mpeg4,3000000,29.97,176,144,219480,3.04
0ICm-Cu4_aE,476.957,vp8,1280,720,1387100,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,vp8,3000000,15.0,480,360,165700,6.36
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,vp8,109000,25.0,320,240,219656,2.512
0XTW-dqdT4w,216.55,h264,320,240,291150,29.0,112,6379,0,6491,1789334,6091735,0,7881069,h264,242000,12.0,480,360,212072,5.2
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,flv,820000,24.0,640,480,219656,0.924
15fr-zSdCqg,39.055,h264,1920,1080,5992818,30.0,26,1144,0,1170,839251,28416939,0,29256190,h264,539000,25.0,640,480,216020,32.354
2kFF-0kB_4w,339.667,h264,640,480,257699,30.0,181,10010,0,10191,10121223,820261,0,10941484,flv,820000,25.0,1920,1080,219480,5.644
3U8m-ETsTS4,282.56,h264,640,480,559834,25.0,145,6920,0,7065,4966509,14806840,0,19773349,h264,820000,12.0,1280,720,335140,16.485
4keb-__zqyQ,452.689,vp8,320,240,66680,5.705752400000001,42,2537,0,2579,207037,3566163,0,3773200,flv,109000,25.0,640,480,248108,0.9520000000000001
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,vp8,56000,25.0,480,360,164888,8.609
3YNh-PI2q64,395.44,vp8,1280,720,1611942,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,h264,242000,15.0,176,144,221160,2.32
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,vp8,56000,29.97,1920,1080,98688,19.649
n-dY-GzUqU8,160.999,h264,480,360,658585,30.0,83,2121,2626,4830,1031784,8742009,0,13253954,h264,109000,25.0,1280,720,325380,24.278000000000002
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,h264,5000000,25.0,320,240,219656,9.421
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,109000,29.97,176,144,165564,4.98
3mWp-QQn-1M,167.39166,h264,1280,720,2207484,24.0,86,3931,0,4017,4369420,41819887,0,46189307,h264,109000,25.0,1280,720,344720,24.858
1Vq6-f1kYeM,127.22166399999999,h264,1920,1080,3080852,23.0,70,2980,0,3050,3818903,45174992,0,48993895,vp8,3000000,15.0,320,240,217436,8.745
3fmy-4uvR9U,143.03333999999998,mpeg4,176,144,51082,12.0,31,1685,0,1716,56405,856907,0,913312,vp8,820000,15.0,1280,720,219480,14.689
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,h264,539000,24.0,480,360,219480,15.549000000000001
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,mpeg4,3000000,24.0,640,480,219656,4.856
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,flv,3000000,29.97,320,240,114912,1.212
25TI-jx-cag,176.90099999999998,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,flv,820000,25.0,1280,720,218932,2.24
1RMD-MxzJn8,64.933,flv,320,240,236793,15.0,39,936,0,975,318954,1603007,0,1921961,mpeg4,539000,15.0,1920,1080,217080,8.137
1WrA-SRsgEk,384.45099999999996,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,mpeg4,56000,15.0,1920,1080,217544,8.365
3fmy-4uvR9U,143.03333999999998,mpeg4,176,144,51082,12.0,31,1685,0,1716,56405,856907,0,913312,flv,820000,25.0,640,480,219480,0.78
0Axi-TRoqVA,59.883,vp8,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,flv,820000,29.97,1280,720,161940,4.3
0Au5-4UDHco,52.68,h264,480,360,372001,25.0,53,1265,0,1318,870136,1579497,0,2449633,mpeg4,5000000,24.0,480,360,140080,4.5280000000000005
46oD-rS6PC8,95.462,h264,640,480,809256,29.0,51,2811,0,2862,886496,8770159,0,9656655,vp8,242000,24.0,1920,1080,221160,35.278
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,vp8,3000000,29.97,176,144,83884,1.516
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,mpeg4,820000,29.97,1280,720,219480,10.297
0ICm-Cu4_aE,476.957,vp8,1280,720,1387100,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,242000,15.0,1920,1080,665812,34.89
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,flv,109000,25.0,176,144,219656,1.188
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,mpeg4,109000,24.0,176,144,216820,2.128
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032557999999998,138,16008,0,16146,1081321,6660941,0,7742262,h264,820000,15.0,320,240,219200,5.232
3U8m-ETsTS4,282.56,h264,640,480,559834,25.0,145,6920,0,7065,4966509,14806840,0,19773349,mpeg4,242000,12.0,1280,720,220900,3.6719999999999997
3SQY-ZB8hmI,473.0,h264,320,240,164017,25.0,198,10924,704,11826,1419320,8047423,0,9697521,vp8,56000,25.0,480,360,220808,4.5280000000000005
1ZzJ-T2FJAw,250.017,h264,320,240,153059,29.0,128,7366,0,7494,856855,3926589,0,4783444,h264,820000,15.0,480,360,218932,9.273
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,mpeg4,5000000,24.0,176,144,164888,3.74
46oD-rS6PC8,95.462,h264,640,480,809256,29.0,51,2811,0,2862,886496,8770159,0,9656655,flv,109000,25.0,640,480,221160,1.78
1YDt-FkeZ4E,98.683334,mpeg4,176,144,55552,12.0,20,1164,0,1184,48267,636993,0,685260,mpeg4,3000000,12.0,640,480,217864,1.508
0ckO-lUydcc,177.33333000000002,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,h264,56000,24.0,1280,720,308748,14.193
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,vp8,539000,24.0,640,480,164888,12.052999999999999
0Hwk-yGT-M4,714.3710000000001,vp8,1280,720,652356,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,vp8,242000,29.97,1920,1080,164888,46.839
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,h264,242000,25.0,640,480,219480,6.86
4keb-__zqyQ,452.689,vp8,320,240,66680,5.705752400000001,42,2537,0,2579,207037,3566163,0,3773200,flv,539000,25.0,1280,720,248152,2.044
0a6_--ZJXTE,290.01666,mpeg4,176,144,52783,12.0,61,3417,0,3478,119325,1794184,0,1913509,vp8,109000,29.97,480,360,132192,3.016
1Nc0-MKuExg,107.443,vp8,480,360,320011,30.093458000000002,30,3190,0,3220,671936,3625932,0,4297868,mpeg4,3000000,15.0,640,480,216820,4.0360000000000005
2u-5-Io725E,426.945,h264,1280,720,1064703,29.0,228,12567,0,12795,11297544,45523691,0,56821235,vp8,3000000,25.0,176,144,219480,4.564
3mWp-QQn-1M,167.39166,h264,1280,720,2207484,24.0,86,3931,0,4017,4369420,41819887,0,46189307,flv,3000000,24.0,640,480,219656,4.12
1hEL-mcI-tM,304.927,vp8,320,240,134334,25.075658999999998,82,7541,0,7623,833754,4286526,0,5120280,flv,3000000,25.0,176,144,216820,0.628
3DRy-Stwt9c,385.05199999999996,vp8,1280,720,441862,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,h264,820000,12.0,1280,720,283668,13.557
1WrA-SRsgEk,384.45099999999996,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,flv,820000,15.0,1920,1080,217828,4.944
2Y-k-006Zbs,67.583336,mpeg4,176,144,51225,12.0,15,777,0,792,47585,385164,0,432749,vp8,242000,12.0,640,480,219480,3.82
4Fob-eSnrb8,1768.9417,mpeg4,176,144,56152,12.0,354,20873,0,21227,1382103,11034284,0,12416387,mpeg4,109000,15.0,176,144,221160,0.68
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032557999999998,138,16008,0,16146,1081321,6660941,0,7742262,vp8,5000000,24.0,640,480,219200,9.833
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,flv,820000,24.0,1920,1080,219480,4.896
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,flv,3000000,15.0,176,144,221152,0.7959999999999999
3BVV-0I-JlM,33.09,h264,320,240,279173,13.0,22,434,0,456,101794,1052937,0,1154731,vp8,820000,15.0,1920,1080,219480,26.862
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,h264,3000000,15.0,1280,720,330828,64.676
1L6x-TgAldY,286.995,h264,480,360,508160,23.0,156,6726,0,6882,2285153,15944803,0,18229956,mpeg4,56000,15.0,1920,1080,216820,8.765
